agent_id,party_id,agent_number,license_state,channel,territory_code,appointment_date,status
AGT00164,PTY005164,AN-000164,MD,direct,TERR-29,2024-07-19,suspended
AGT00381,PTY005381,AN-000381,SC,direct,TERR-25,2019-02-19,inactive
AGT00175,PTY005175,AN-000175,GA,partner,TERR-34,2022-12-29,suspended
AGT00370,PTY005370,AN-000370,NV,partner,TERR-14,2025-06-29,suspended
AGT00432,PTY005432,AN-000432,OR,exclusive,TERR-35,2020-12-13,suspended
AGT00052,PTY005052,AN-000052,UT,exclusive,TERR-27,2017-09-09,active
AGT00322,PTY005322,AN-000322,OR,independent,TERR-26,2020-08-21,terminated
AGT00461,PTY005461,AN-000461,CA,exclusive,TERR-32,2015-03-05,active
AGT00413,PTY005413,AN-000413,WY,direct,TERR-12,2024-07-25,inactive
AGT00488,PTY005488,AN-000488,MI,exclusive,TERR-09,2025-06-20,active
AGT00448,PTY005448,AN-000448,MA,exclusive,TERR-19,2019-09-06,active
AGT00163,PTY005163,AN-000163,IA,partner,TERR-19,2019-07-07,inactive
AGT00244,PTY005244,AN-000244,MS,partner,TERR-03,2019-07-15,terminated
AGT00167,PTY005167,AN-000167,OR,direct,TERR-18,2022-01-21,terminated
AGT00420,PTY005420,AN-000420,AS,broker,TERR-14,2020-05-07,terminated
AGT00458,PTY005458,AN-000458,NV,exclusive,TERR-29,2020-02-05,active
AGT00083,PTY005083,AN-000083,WA,exclusive,TERR-06,2024-10-04,terminated
AGT00276,PTY005276,AN-000276,NE,broker,TERR-05,2017-10-14,active
AGT00475,PTY005475,AN-000475,CA,partner,TERR-28,2024-11-12,inactive
AGT00143,PTY005143,AN-000143,MT,direct,TERR-40,2023-02-03,inactive
AGT00312,PTY005312,AN-000312,ND,partner,TERR-12,2022-05-31,inactive
AGT00278,PTY005278,AN-000278,FM,broker,TERR-18,2018-11-06,active
AGT00114,PTY005114,AN-000114,VA,broker,TERR-17,2019-09-18,active
AGT00097,PTY005097,AN-000097,MN,exclusive,TERR-12,2026-05-16,terminated
AGT00158,PTY005158,AN-000158,KS,broker,TERR-09,2017-10-19,suspended
AGT00406,PTY005406,AN-000406,KY,broker,TERR-12,2026-03-29,suspended
AGT00424,PTY005424,AN-000424,PA,exclusive,TERR-36,2025-06-07,inactive
AGT00315,PTY005315,AN-000315,MT,independent,TERR-29,2015-12-22,suspended
AGT00459,PTY005459,AN-000459,TX,broker,TERR-03,2021-02-11,suspended
AGT00266,PTY005266,AN-000266,WA,partner,TERR-20,2024-07-10,inactive
AGT00076,PTY005076,AN-000076,MT,independent,TERR-30,2024-09-28,terminated
AGT00473,PTY005473,AN-000473,MI,exclusive,TERR-30,2016-09-28,terminated
AGT00233,PTY005233,AN-000233,FM,exclusive,TERR-32,2019-02-24,active
AGT00146,PTY005146,AN-000146,PW,exclusive,TERR-30,2021-05-07,active
AGT00330,PTY005330,AN-000330,NC,direct,TERR-35,2026-05-18,active
AGT00231,PTY005231,AN-000231,NC,partner,TERR-22,2015-03-10,inactive
AGT00223,PTY005223,AN-000223,TX,direct,TERR-01,2023-07-09,suspended
AGT00273,PTY005273,AN-000273,SC,exclusive,TERR-39,2026-02-02,suspended
AGT00098,PTY005098,AN-000098,NY,exclusive,TERR-32,2019-05-01,terminated
AGT00085,PTY005085,AN-000085,AK,broker,TERR-30,2018-03-03,active
AGT00480,PTY005480,AN-000480,RI,partner,TERR-04,2017-09-13,suspended
AGT00128,PTY005128,AN-000128,ME,direct,TERR-40,2016-02-28,suspended
AGT00209,PTY005209,AN-000209,MI,broker,TERR-35,2018-05-07,active
AGT00206,PTY005206,AN-000206,PR,direct,TERR-32,2023-01-09,terminated
AGT00422,PTY005422,AN-000422,NJ,broker,TERR-32,2022-01-04,terminated
AGT00269,PTY005269,AN-000269,WV,partner,TERR-24,2024-09-05,active
AGT00216,PTY005216,AN-000216,MA,independent,TERR-37,2019-08-06,suspended
AGT00159,PTY005159,AN-000159,KS,independent,TERR-36,2021-12-01,suspended
AGT00414,PTY005414,AN-000414,NE,independent,TERR-40,2017-07-09,inactive
AGT00391,PTY005391,AN-000391,MD,direct,TERR-11,2026-07-06,terminated
