agent_id,party_id,agent_number,license_state,channel,appointment_date,status
AGT00001,PTY005001,AN-000001,WA,broker,2016-09-03,inactive
AGT00002,PTY005002,AN-000002,NE,independent,2021-04-05,active
AGT00003,PTY005003,AN-000003,NE,broker,2023-01-20,active
AGT00004,PTY005004,AN-000004,MS,broker,2022-03-03,active
AGT00005,PTY005005,AN-000005,FM,partner,2025-02-04,inactive
AGT00006,PTY005006,AN-000006,AK,direct,2025-03-24,terminated
AGT00007,PTY005007,AN-000007,CA,independent,2018-09-11,active
AGT00008,PTY005008,AN-000008,PA,direct,2015-11-14,active
AGT00009,PTY005009,AN-000009,MO,exclusive,2021-03-21,active
AGT00010,PTY005010,AN-000010,AL,exclusive,2026-02-02,active
AGT00011,PTY005011,AN-000011,IL,direct,2021-08-14,inactive
AGT00012,PTY005012,AN-000012,LA,direct,2023-03-26,active
AGT00013,PTY005013,AN-000013,OK,exclusive,2021-04-08,active
AGT00014,PTY005014,AN-000014,MT,direct,2024-08-03,active
AGT00015,PTY005015,AN-000015,VI,direct,2026-09-14,active
AGT00016,PTY005016,AN-000016,FL,direct,2018-05-05,active
AGT00017,PTY005017,AN-000017,UT,direct,2021-09-28,active
AGT00018,PTY005018,AN-000018,MS,direct,2024-04-17,active
AGT00019,PTY005019,AN-000019,NV,exclusive,2015-05-09,inactive
AGT00020,PTY005020,AN-000020,IA,exclusive,2025-06-16,active
AGT00021,PTY005021,AN-000021,AK,broker,2018-07-10,active
AGT00022,PTY005022,AN-000022,ME,broker,2021-05-25,active
AGT00023,PTY005023,AN-000023,MA,independent,2025-05-25,active
AGT00024,PTY005024,AN-000024,SC,direct,2023-06-09,terminated
AGT00025,PTY005025,AN-000025,WV,broker,2025-10-30,active
AGT00026,PTY005026,AN-000026,CT,exclusive,2019-10-18,active
AGT00027,PTY005027,AN-000027,VA,exclusive,2026-07-07,inactive
AGT00028,PTY005028,AN-000028,NV,partner,2026-03-21,active
AGT00029,PTY005029,AN-000029,RI,direct,2020-11-09,active
AGT00030,PTY005030,AN-000030,SD,direct,2021-05-12,active
AGT00031,PTY005031,AN-000031,VA,exclusive,2017-09-19,active
AGT00032,PTY005032,AN-000032,IA,partner,2017-02-02,active
AGT00033,PTY005033,AN-000033,NC,independent,2020-06-30,active
AGT00034,PTY005034,AN-000034,MA,broker,2020-12-05,active
AGT00035,PTY005035,AN-000035,ID,partner,2017-03-04,active
AGT00036,PTY005036,AN-000036,UT,broker,2025-05-26,active
AGT00037,PTY005037,AN-000037,NJ,exclusive,2025-08-24,active
AGT00038,PTY005038,AN-000038,CO,independent,2021-01-30,active
AGT00039,PTY005039,AN-000039,NY,independent,2019-06-09,inactive
AGT00040,PTY005040,AN-000040,OH,broker,2025-07-09,active
