portfolio_code,as_of_date,instrument_code,quantity,market_value
PF001,2026-01-01,US9197955795,3675.6858,1002549.79
PF001,2026-01-01,US1319945231,4868.2672,951657.85
PF001,2026-01-01,US3366963127,2804.9991,1168024.87
PF001,2026-01-01,US7340365066,3130.7468,1353222.67
PF001,2026-01-01,US7865793031,2929.0255,1040507.6
PF002,2026-01-01,US3987049960,1518.001,74530.92
PF002,2026-01-01,US2100533538,1240.6753,73808.64
PF002,2026-01-01,US3983620822,1462.0707,470034.35
PF003,2026-01-01,US3396707112,1408.1913,660386.45
PF003,2026-01-01,US1319945231,3275.3734,1010368.17
PF003,2026-01-01,US9197955795,938.5794,344714.06
PF003,2026-01-01,US2100533538,900.6722,176471.56
PF003,2026-01-01,US3987049960,4948.6644,1601387.22
PF004,2026-01-01,US3987049960,1222.3356,31449.62
PF004,2026-01-01,US1319945231,1645.7199,232364.18
PF004,2026-01-01,US3983620822,1133.8159,535190.31
PF004,2026-01-01,US7865793031,4394.2014,721493.43
PF005,2026-01-01,US3498177348,1308.4748,373007.42
PF005,2026-01-01,US3987049960,1387.4339,411300.8
PF005,2026-01-01,US1284927808,4499.3321,925540.72
PF005,2026-01-01,US3396707112,1174.6717,585918.52
PF005,2026-01-01,US7340365066,2596.6788,141637.43
PF005,2026-01-01,US8496214706,330.8702,21085.72
PF006,2026-01-01,US3983620822,411.2858,81020.61
PF006,2026-01-01,US3987049960,4980.9948,1341212.69
PF006,2026-01-01,US3498177348,4858.2841,2097719.89
PF006,2026-01-01,US3366963127,156.257,56745.31
