instrument_code,instrument_name,instrument_type
US7865793031,Security 1,equity
US8962337904,Security 2,equity
US3396707112,Security 3,cash
US2100533538,Security 4,equity
US7340365066,Security 5,equity
US1319945231,Security 6,equity
US3498177348,Security 7,cash
US1284927808,Security 8,equity
US8688202048,Security 9,bond
US3366963127,Security 10,cash
US3987049960,Security 11,equity
US8496214706,Security 12,bond
US3983620822,Security 13,equity
US9197955795,Security 14,equity
US1995850926,Security 15,equity
