claim_id,claim_number,policy_id,customer_id,policy_coverage_id,loss_date,report_date,claim_status,loss_cause,paid_amount,reserve_amount
CLM000101,CN-00000101,POL000201,CUST002452,COV000101,2026-05-05,2026-05-12,denied,weather,418.16,97.51
CLM000102,CN-00000102,POL000202,CUST004428,COV000102,2025-01-06,2025-01-07,open,liability,383.44,89.3
CLM000103,CN-00000103,POL000203,CUST002630,COV000103,2026-07-29,2026-08-08,closed,other,784.5,188.71
CLM000104,CN-00000104,POL000204,CUST004346,COV000104,2024-02-15,2024-02-29,subrogation,liability,230.05,40.8
CLM000105,CN-00000105,POL000205,CUST001660,COV000105,2026-08-31,2026-09-07,closed,weather,583.78,0.37
CLM000106,CN-00000106,POL000206,CUST003093,COV000106,2025-03-09,2025-03-13,closed,collision,83.29,10.21
CLM000107,CN-00000107,POL000207,CUST004189,COV000107,2026-06-14,2026-06-14,closed,water_damage,773.6,200.65
CLM000108,CN-00000108,POL000208,CUST002056,COV000108,2024-02-10,2024-02-19,closed,weather,92.49,2.97
CLM000109,CN-00000109,POL000209,CUST000202,COV000109,2025-06-19,2025-06-19,open,theft,109.72,0.15
CLM000110,CN-00000110,POL000210,CUST003637,COV000110,2026-07-09,2026-07-17,reopened,theft,416.14,90.26
CLM000111,CN-00000111,POL000211,CUST001551,COV000111,2024-03-10,2024-03-22,open,theft,50.85,3.27
CLM000112,CN-00000112,POL000212,CUST001440,COV000112,2026-04-20,2026-04-21,closed,liability,844.36,177.2
CLM000113,CN-00000113,POL000213,CUST003210,COV000113,2026-03-06,2026-03-15,denied,other,857.49,224.77
CLM000114,CN-00000114,POL000214,CUST000777,COV000114,2026-06-27,2026-07-11,reopened,weather,64.79,18.68
CLM000115,CN-00000115,POL000215,CUST004417,COV000115,2024-06-08,2024-06-22,reopened,theft,472.47,20.49
CLM000116,CN-00000116,POL000216,CUST001959,COV000116,2026-04-30,2026-05-02,reopened,fire,312.47,48.94
CLM000117,CN-00000117,POL000217,CUST001841,COV000117,2025-07-27,2025-07-28,closed,liability,726.51,199.33
CLM000118,CN-00000118,POL000218,CUST002674,COV000118,2024-03-19,2024-03-21,closed,water_damage,564.29,37.17
CLM000119,CN-00000119,POL000219,CUST004479,COV000119,2025-12-25,2026-01-07,closed,theft,882.12,187.1
CLM000120,CN-00000120,POL000220,CUST004127,COV000120,2024-06-18,2024-06-30,closed,theft,397.58,82.64
CLM000121,CN-00000121,POL000221,CUST003004,COV000121,2025-05-24,2025-05-24,reopened,weather,752.81,150.3
CLM000122,CN-00000122,POL000222,CUST004393,COV000122,2024-06-09,2024-06-11,subrogation,other,824.64,22.09
CLM000123,CN-00000123,POL000223,CUST003168,COV000123,2026-04-02,2026-04-07,subrogation,water_damage,445.43,130.64
CLM000124,CN-00000124,POL000224,CUST000167,COV000124,2024-03-24,2024-04-04,closed,liability,442.38,69.1
CLM000125,CN-00000125,POL000225,CUST002372,COV000125,2025-03-14,2025-03-19,closed,collision,6913.89,1322.77
CLM000126,CN-00000126,POL000226,CUST002000,COV000126,2026-08-16,2026-08-24,closed,water_damage,257.17,21.98
CLM000127,CN-00000127,POL000227,CUST003229,COV000127,2026-08-09,2026-08-17,subrogation,weather,725.42,43.28
CLM000128,CN-00000128,POL000228,CUST003320,COV000128,2025-09-06,2025-09-16,reopened,collision,718.68,157.78
CLM000129,CN-00000129,POL000229,CUST004093,COV000129,2024-03-02,2024-03-06,denied,collision,886.85,130.51
CLM000130,CN-00000130,POL000230,CUST001963,COV000130,2025-02-21,2025-02-23,reopened,water_damage,582.44,113.37
CLM000131,CN-00000131,POL000231,CUST000779,COV000131,2025-04-14,2025-04-18,reopened,fire,98.35,12.94
CLM000132,CN-00000132,POL000232,CUST003536,COV000132,2024-02-27,2024-03-01,closed,weather,214.58,42.45
CLM000133,CN-00000133,POL000233,CUST002507,COV000133,2026-04-24,2026-04-26,open,theft,65.2,12.1
CLM000134,CN-00000134,POL000234,CUST003100,COV000134,2025-06-26,2025-07-01,subrogation,weather,485.53,53.73
CLM000135,CN-00000135,POL000235,CUST004190,COV000135,2026-02-17,2026-02-26,closed,liability,490.45,114.86
CLM000136,CN-00000136,POL000236,CUST003397,COV000136,2024-04-07,2024-04-11,reopened,collision,784.68,87.83
CLM000137,CN-00000137,POL000237,CUST000051,COV000137,2025-05-17,2025-05-30,denied,fire,105.02,7.66
CLM000138,CN-00000138,POL000238,CUST002749,COV000138,2025-10-01,2025-10-12,reopened,water_damage,602.86,146.88
CLM000139,CN-00000139,POL000239,CUST001099,COV000139,2026-07-24,2026-07-24,closed,liability,51.06,1.45
CLM000140,CN-00000140,POL000240,CUST004028,COV000140,2024-01-13,2024-01-15,subrogation,fire,158.02,36.24
CLM000141,CN-00000141,POL000241,CUST001810,COV000141,2025-11-05,2025-11-07,reopened,weather,312.33,29.79
CLM000142,CN-00000142,POL000242,CUST002244,COV000142,2025-02-23,2025-02-28,denied,water_damage,284.66,71.86
CLM000143,CN-00000143,POL000243,CUST002083,COV000143,2025-06-12,2025-06-24,denied,water_damage,792.06,217.32
CLM000144,CN-00000144,POL000244,CUST000126,COV000144,2024-07-12,2024-07-20,closed,theft,327.75,88.87
CLM000145,CN-00000145,POL000245,CUST001998,COV000145,2024-02-18,2024-02-27,closed,collision,453.69,107.66
CLM000146,CN-00000146,POL000246,CUST003554,COV000146,2025-04-21,2025-05-01,closed,theft,88.48,0.11
CLM000147,CN-00000147,POL000247,CUST001632,COV000147,2024-04-20,2024-04-25,closed,liability,428.09,127.06
CLM000148,CN-00000148,POL000248,CUST002596,COV000148,2026-08-01,2026-08-02,closed,theft,465.68,130.23
CLM000149,CN-00000149,POL000249,CUST002398,COV000149,2026-08-24,2026-08-30,reopened,liability,825.84,85.73
CLM000150,CN-00000150,POL000250,CUST001474,COV000150,2026-06-01,2026-06-15,subrogation,weather,903.15,39.81
CLM000151,CN-00000151,POL000251,CUST004805,COV000151,2024-05-11,2024-05-25,subrogation,theft,992.93,265.83
CLM000152,CN-00000152,POL000252,CUST004486,COV000152,2026-03-12,2026-03-17,closed,theft,902.19,210.24
CLM000153,CN-00000153,POL000253,CUST000373,COV000153,2024-07-26,2024-07-29,open,collision,995.43,163.53
CLM000154,CN-00000154,POL000254,CUST001114,COV000154,2024-01-16,2024-01-27,open,theft,816.21,159.61
CLM000155,CN-00000155,POL000255,CUST002024,COV000155,2025-04-13,2025-04-16,subrogation,liability,830.62,102.52
CLM000156,CN-00000156,POL000256,CUST004919,COV000156,2025-05-09,2025-05-13,reopened,theft,924.18,139.48
CLM000157,CN-00000157,POL000257,CUST002423,COV000157,2026-04-26,2026-05-09,reopened,weather,197.25,36.71
CLM000158,CN-00000158,POL000258,CUST001725,COV000158,2024-06-23,2024-06-28,closed,collision,570.09,53.35
CLM000159,CN-00000159,POL000259,CUST004298,COV000159,2024-02-28,2024-03-10,closed,theft,852.47,131.97
CLM000160,CN-00000160,POL000260,CUST002087,COV000160,2026-03-28,2026-04-11,closed,collision,817.09,36.18
CLM000161,CN-00000161,POL000261,CUST004840,COV000161,2026-01-15,2026-01-20,subrogation,fire,307.38,8.46
CLM000162,CN-00000162,POL000262,CUST000469,COV000162,2026-05-30,2026-05-31,denied,liability,364.43,34.91
CLM000163,CN-00000163,POL000263,CUST000228,COV000163,2025-11-05,2025-11-11,closed,other,606.3,69.36
CLM000164,CN-00000164,POL000264,CUST001396,COV000164,2024-04-05,2024-04-08,subrogation,liability,7353.57,1060.47
CLM000165,CN-00000165,POL000265,CUST003855,COV000165,2024-07-07,2024-07-16,reopened,weather,353.54,60.21
CLM000166,CN-00000166,POL000266,CUST003969,COV000166,2024-04-06,2024-04-19,closed,water_damage,223.38,32.28
CLM000167,CN-00000167,POL000267,CUST004325,COV000167,2025-08-18,2025-08-27,closed,collision,995.97,187.94
CLM000168,CN-00000168,POL000268,CUST003988,COV000168,2026-03-21,2026-03-22,reopened,liability,204.91,56.85
CLM000169,CN-00000169,POL000269,CUST003317,COV000169,2026-05-25,2026-06-08,subrogation,water_damage,952.93,236.79
CLM000170,CN-00000170,POL000270,CUST000476,COV000170,2025-03-01,2025-03-05,closed,weather,133.92,23.42
CLM000171,CN-00000171,POL000271,CUST000866,COV000171,2025-03-10,2025-03-15,reopened,theft,292.61,61.47
CLM000172,CN-00000172,POL000272,CUST001261,COV000172,2025-08-17,2025-08-25,open,fire,497.65,32.57
CLM000173,CN-00000173,POL000273,CUST001770,COV000173,2026-05-25,2026-06-02,closed,other,760.79,55.28
CLM000174,CN-00000174,POL000274,CUST004979,COV000174,2024-06-30,2024-07-02,open,water_damage,89.97,0.13
CLM000175,CN-00000175,POL000275,CUST003528,COV000175,2024-11-13,2024-11-22,denied,liability,306.37,22.83
CLM000176,CN-00000176,POL000276,CUST000809,COV000176,2024-06-18,2024-06-19,closed,weather,731.9,18.05
CLM000177,CN-00000177,POL000277,CUST001225,COV000177,2024-02-25,2024-03-06,open,other,911.7,81.82
CLM000178,CN-00000178,POL000278,CUST003158,COV000178,2026-03-17,2026-03-24,reopened,weather,502.34,6.04
CLM000179,CN-00000179,POL000279,CUST001804,COV000179,2024-07-12,2024-07-19,closed,weather,117.11,21.36
CLM000180,CN-00000180,POL000280,CUST003004,COV000180,2025-06-15,2025-06-18,open,theft,812.53,50.0
CLM000181,CN-00000181,POL000281,CUST001542,COV000181,2025-03-24,2025-03-29,reopened,liability,758.2,75.53
CLM000182,CN-00000182,POL000282,CUST000248,COV000182,2026-08-26,2026-09-09,closed,theft,582.03,116.06
