customer_id,party_id,customer_number,customer_segment,lifecycle_stage,acquisition_date,risk_tier,engagement_score
CUST000001,PTY000001,CN-0000001,retail,unknown_status,2018-10-03,very_high,95.96
CUST000002,PTY000002,CN-0000002,retail,unknown_status,2021-02-14,high,99.48
CUST000003,PTY000003,CN-0000003,small_business,unknown_status,2020-01-15,high,49.42
CUST000004,PTY000004,CN-0000004,affluent,unknown_status,2023-05-26,high,13.82
CUST000005,PTY000005,CN-0000005,retail,unknown_status,2025-05-02,very_high,54.93
CUST000006,PTY000006,CN-0000006,affluent,unknown_status,2024-01-16,medium,38.46
CUST000007,PTY000007,CN-0000007,affluent,unknown_status,2024-07-07,medium,70.31
CUST000008,PTY000008,CN-0000008,small_business,unknown_status,2020-08-21,medium,99.39
CUST000009,PTY000009,CN-0000009,small_business,unknown_status,2018-03-12,very_high,95.76
CUST000010,PTY000010,CN-0000010,retail,unknown_status,2019-03-28,high,84.88
CUST000011,PTY000011,CN-0000011,small_business,unknown_status,2019-07-25,medium,83.53
CUST000012,PTY000012,CN-0000012,small_business,unknown_status,2024-03-08,medium,82.78
CUST000013,PTY000013,CN-0000013,affluent,unknown_status,2018-08-17,low,96.21
CUST000014,PTY000014,CN-0000014,retail,unknown_status,2025-11-23,low,69.61
CUST000015,PTY000015,CN-0000015,small_business,unknown_status,2022-10-06,low,66.27
CUST000016,PTY000016,CN-0000016,small_business,former,2018-10-30,medium,3.02
CUST000017,PTY000017,CN-0000017,retail,prospect,2022-02-05,medium,7.71
CUST000018,PTY000018,CN-0000018,small_business,active,2024-05-20,medium,46.98
CUST000019,PTY000019,CN-0000019,affluent,inactive,2019-07-28,high,47.02
CUST000020,PTY000020,CN-0000020,small_business,active,2026-02-07,low,28.68
CUST000021,PTY000021,CN-0000021,retail,lapsed,2019-10-01,low,60.42
CUST000022,PTY000022,CN-0000022,affluent,active,2019-12-12,low,39.64
CUST000023,PTY000023,CN-0000023,affluent,active,2022-10-02,high,91.92
CUST000024,PTY000024,CN-0000024,small_business,lapsed,2023-08-18,medium,42.37
CUST000025,PTY000025,CN-0000025,small_business,prospect,2019-10-05,very_high,97.79
CUST000026,PTY000026,CN-0000026,affluent,active,2019-05-28,very_high,61.9
CUST000027,PTY000027,CN-0000027,small_business,active,2020-06-15,low,81.66
CUST000028,PTY000028,CN-0000028,small_business,active,2023-04-03,very_high,82.73
CUST000029,PTY000029,CN-0000029,retail,former,2019-11-07,high,64.66
CUST000030,PTY000030,CN-0000030,small_business,prospect,2020-03-08,low,7.78
CUST000031,PTY000031,CN-0000031,small_business,prospect,2024-10-06,medium,28.22
CUST000032,PTY000032,CN-0000032,retail,prospect,2024-01-28,medium,59.71
CUST000033,PTY000033,CN-0000033,small_business,active,2026-06-26,medium,63.84
CUST000034,PTY000034,CN-0000034,retail,active,2018-05-13,low,97.67
CUST000035,PTY000035,CN-0000035,retail,inactive,2024-05-02,very_high,4.57
