claim_id,claim_number,policy_id,customer_id,policy_coverage_id,loss_date,report_date,claim_status,loss_cause,paid_amount,reserve_amount
CLM000001,CN-00000001,POL000101,CUST004809,COV000001,2024-11-06,2024-11-13,denied,fire,-219.65,32.8
CLM000002,CN-00000002,POL000102,CUST000612,COV000002,2024-01-27,2024-01-29,closed,collision,-667.22,24.64
CLM000003,CN-00000003,POL000103,CUST001054,COV000003,2024-03-03,2024-03-14,closed,liability,-77.07,0.67
CLM000004,CN-00000004,POL000104,CUST002556,COV000004,2024-08-24,2024-08-30,open,other,-138.92,24.69
CLM000005,CN-00000005,POL000105,CUST003947,COV000005,2024-01-10,2024-01-24,reopened,liability,-914.56,152.5
CLM000006,CN-00000006,POL000106,CUST000699,COV000006,2024-11-23,2024-12-03,closed,theft,-916.51,121.86
CLM000007,CN-00000007,POL000107,CUST000418,COV000007,2026-09-08,2026-09-11,open,water_damage,-621.93,144.37
CLM000008,CN-00000008,POL000108,CUST002848,COV000008,2025-04-18,2025-04-22,closed,fire,-641.88,101.73
CLM000009,CN-00000009,POL000109,CUST000988,COV000009,2025-02-19,2025-02-24,denied,fire,-193.43,37.88
CLM000010,CN-00000010,POL000110,CUST003199,COV000010,2025-08-27,2025-08-30,closed,water_damage,-539.42,44.65
CLM000011,CN-00000011,POL000111,CUST001997,COV000011,2026-09-01,2026-09-04,subrogation,other,-733.44,86.0
CLM000012,CN-00000012,POL000112,CUST002834,COV000012,2025-06-28,2025-07-10,denied,other,-248.53,18.55
CLM000013,CN-00000013,POL000113,CUST000099,COV000013,2025-01-23,2025-01-25,subrogation,other,-300.42,62.54
CLM000014,CN-00000014,POL000114,CUST002891,COV000014,2026-03-16,2026-03-25,reopened,weather,-9895.94,919.25
CLM000015,CN-00000015,POL000115,CUST004981,COV000015,2026-04-30,2026-05-12,closed,weather,-849.17,26.81
CLM000016,CN-00000016,POL000116,CUST000290,COV000016,2025-01-16,2025-01-17,denied,theft,-666.52,178.25
CLM000017,CN-00000017,POL000117,CUST001045,COV000017,2024-07-02,2024-07-03,closed,theft,-689.26,70.53
CLM000018,CN-00000018,POL000118,CUST003121,COV000018,2025-06-12,2025-06-18,closed,water_damage,-467.78,59.53
CLM000019,CN-00000019,POL000119,CUST003385,COV000019,2025-12-12,2025-12-17,closed,water_damage,-665.98,122.65
CLM000020,CN-00000020,POL000120,CUST001990,COV000020,2024-03-15,2024-03-27,denied,liability,-941.42,104.83
CLM000021,CN-00000021,POL000121,CUST004774,COV000021,2026-03-04,2026-03-12,reopened,fire,-775.79,160.79
CLM000022,CN-00000022,POL000122,CUST001638,COV000022,2024-07-26,2024-07-29,closed,collision,-616.86,98.02
CLM000023,CN-00000023,POL000123,CUST001341,COV000023,2024-08-17,2024-08-22,reopened,collision,-798.66,60.31
CLM000024,CN-00000024,POL000124,CUST001713,COV000024,2025-08-31,2025-09-03,reopened,theft,-644.34,143.01
CLM000025,CN-00000025,POL000125,CUST002489,COV000025,2024-06-25,2024-07-03,closed,water_damage,-663.62,108.57
CLM000026,CN-00000026,POL000126,CUST002674,COV000026,2026-05-08,2026-05-08,subrogation,other,247.34,31.77
CLM000027,CN-00000027,POL000127,CUST004026,COV000027,2025-03-30,2025-04-11,closed,fire,286.72,33.87
CLM000028,CN-00000028,POL000128,CUST000253,COV000028,2025-11-30,2025-12-12,subrogation,theft,651.75,166.19
CLM000029,CN-00000029,POL000129,CUST001622,COV000029,2024-02-20,2024-02-27,denied,other,196.2,17.15
CLM000030,CN-00000030,POL000130,CUST002810,COV000030,2025-04-04,2025-04-11,reopened,collision,899.0,36.43
CLM000031,CN-00000031,POL000131,CUST000804,COV000031,2024-07-17,2024-07-28,closed,other,705.66,28.78
CLM000032,CN-00000032,POL000132,CUST003300,COV000032,2026-04-06,2026-04-07,closed,collision,72.93,0.05
CLM000033,CN-00000033,POL000133,CUST003261,COV000033,2026-02-24,2026-03-03,closed,fire,268.21,0.78
CLM000034,CN-00000034,POL000134,CUST004945,COV000034,2025-10-07,2025-10-18,closed,other,493.06,43.72
CLM000035,CN-00000035,POL000135,CUST004119,COV000035,2025-07-09,2025-07-15,denied,fire,824.85,199.85
CLM000036,CN-00000036,POL000136,CUST002266,COV000036,2026-01-28,2026-01-28,open,theft,65.07,11.33
CLM000037,CN-00000037,POL000137,CUST002016,COV000037,2025-02-09,2025-02-19,closed,weather,875.35,226.12
CLM000038,CN-00000038,POL000138,CUST002838,COV000038,2025-09-02,2025-09-03,subrogation,liability,398.86,105.72
CLM000039,CN-00000039,POL000139,CUST004649,COV000039,2025-06-27,2025-07-05,denied,weather,835.16,147.79
CLM000040,CN-00000040,POL000140,CUST001074,COV000040,2025-08-17,2025-08-24,open,weather,153.26,25.64
