customer_id,party_id,customer_number,customer_segment,lifecycle_stage,acquisition_date,risk_tier,engagement_score
CUST000101,PTY000101,CN-0000101,small_business,active,2025-05-21,very_high,67.33
CUST000102,PTY000102,CN-0000102,small_business,prospect,2018-01-18,low,2.62
CUST000103,PTY000103,CN-0000103,affluent,former,2022-03-14,high,33.51
CUST000104,PTY000104,CN-0000104,small_business,active,2024-06-01,very_high,19.27
CUST000105,PTY000105,CN-0000105,small_business,former,2025-03-24,low,80.13
CUST000106,PTY000106,CN-0000106,small_business,active,2024-06-24,very_high,97.74
CUST000107,PTY000107,CN-0000107,small_business,active,2019-12-13,medium,43.74
CUST000108,PTY000108,CN-0000108,affluent,former,2019-02-12,medium,50.43
CUST000109,PTY000109,CN-0000109,affluent,former,2025-01-30,very_high,84.3
CUST000110,PTY000110,CN-0000110,small_business,former,2025-01-13,medium,94.87
CUST000111,PTY000111,CN-0000111,retail,prospect,2020-04-14,low,43.74
CUST000112,PTY000112,CN-0000112,affluent,active,2025-01-19,low,61.81
CUST000113,PTY000113,CN-0000113,retail,inactive,2024-02-05,very_high,2.53
CUST000114,PTY000114,CN-0000114,retail,active,2026-03-27,high,18.66
CUST000115,PTY000115,CN-0000115,retail,active,2025-04-26,medium,53.54
CUST000116,PTY000116,CN-0000116,affluent,former,2020-10-01,very_high,77.04
CUST000117,PTY000117,CN-0000117,retail,active,2025-05-24,low,93.5
CUST000118,PTY000118,CN-0000118,retail,lapsed,2025-01-13,low,11.09
CUST000119,PTY000119,CN-0000119,retail,prospect,2024-09-06,medium,28.25
CUST000120,PTY000120,CN-0000120,retail,prospect,2020-01-10,very_high,84.46
CUST000121,PTY000121,CN-0000121,small_business,prospect,2020-05-01,very_high,79.54
CUST000122,PTY000122,CN-0000122,retail,active,2022-08-22,low,21.03
CUST000123,PTY000123,CN-0000123,small_business,active,2022-09-16,very_high,80.85
CUST000124,PTY000124,CN-0000124,small_business,prospect,2020-01-07,medium,65.97
CUST000125,PTY000125,CN-0000125,affluent,former,2025-01-29,low,11.72
CUST000126,PTY000126,CN-0000126,small_business,active,2021-11-05,low,15.84
CUST000127,PTY000127,CN-0000127,small_business,prospect,2026-04-26,medium,60.61
CUST000128,PTY000128,CN-0000128,retail,inactive,2024-01-05,medium,21.63
CUST000129,PTY000129,CN-0000129,retail,active,2022-02-03,low,32.75
CUST000130,PTY000130,CN-0000130,retail,lapsed,2020-06-19,medium,26.76
CUST000131,PTY000131,CN-0000131,retail,prospect,2023-05-27,high,70.81
CUST000132,PTY000132,CN-0000132,small_business,active,2025-04-24,very_high,43.61
CUST000133,PTY000133,CN-0000133,retail,active,2022-06-27,medium,19.79
CUST000134,PTY000134,CN-0000134,small_business,active,2026-01-17,low,58.36
CUST000135,PTY000135,CN-0000135,affluent,active,2026-08-06,medium,79.41
CUST000136,PTY000136,CN-0000136,small_business,active,2026-02-05,very_high,42.37
CUST000137,PTY000137,CN-0000137,small_business,former,2026-05-19,high,62.29
CUST000138,PTY000138,CN-0000138,small_business,active,2024-10-23,medium,56.71
CUST000139,PTY000139,CN-0000139,affluent,former,2022-03-12,low,44.94
CUST000140,PTY000140,CN-0000140,affluent,active,2018-05-19,very_high,29.35
CUST000141,PTY000141,CN-0000141,affluent,active,2025-03-27,very_high,2.99
CUST000142,PTY000142,CN-0000142,small_business,active,2020-01-07,medium,35.77
CUST000143,PTY000143,CN-0000143,retail,lapsed,2018-10-25,high,37.2
CUST000144,PTY000144,CN-0000144,retail,prospect,2021-07-11,high,68.83
CUST000145,PTY000145,CN-0000145,small_business,active,2026-01-15,very_high,56.75
CUST000146,PTY000146,CN-0000146,retail,inactive,2021-08-10,low,38.56
CUST000147,PTY000147,CN-0000147,retail,inactive,2024-09-30,medium,10.29
CUST000148,PTY000148,CN-0000148,affluent,inactive,2021-02-12,low,57.39
CUST000149,PTY000149,CN-0000149,small_business,lapsed,2025-04-01,very_high,31.78
CUST000150,PTY000150,CN-0000150,retail,active,2021-08-04,low,80.27
CUST000151,PTY000151,CN-0000151,retail,active,2023-08-05,very_high,11.93
CUST000152,PTY000152,CN-0000152,retail,inactive,2023-01-29,high,59.12
CUST000153,PTY000153,CN-0000153,affluent,prospect,2020-08-26,high,1.78
