payment_id,policy_id,customer_id,payment_date,payment_status,payment_method,billed_amount,paid_amount
PAY000001,POL000101,CUST004809,2026-05-11,past_due,cash,1398.88,1398.88
PAY000002,POL000102,CUST000612,2025-11-03,failed,wire,1714.53,1714.53
PAY000003,POL000103,CUST001054,2024-04-01,reversed,check,1402.14,1402.14
PAY000004,POL000104,CUST002556,2025-03-19,scheduled,card,1200.95,1200.95
PAY000005,POL000105,CUST003947,2024-03-18,past_due,check,1133.39,1133.39
PAY000006,POL000106,CUST000699,2024-09-20,paid,payroll,1486.77,1486.77
PAY000007,POL000107,CUST000418,2026-03-17,reversed,payroll,930.22,930.22
PAY000008,POL000108,CUST002848,2024-02-08,paid,payroll,1965.8,1965.8
PAY000009,POL000109,CUST000988,2024-10-16,reversed,card,541.26,541.26
PAY000010,POL000110,CUST003199,2026-08-17,failed,payroll,1893.91,1893.91
PAY000011,POL000111,CUST001997,2025-12-16,scheduled,payroll,1769.64,0.0
PAY000012,POL000112,CUST002834,2024-09-03,scheduled,payroll,1426.27,1426.27
PAY000013,POL000113,CUST000099,2026-01-08,scheduled,card,744.99,744.99
PAY000014,POL000114,CUST002891,2026-06-30,past_due,cash,1200.91,1200.91
PAY000015,POL000115,CUST004981,2024-12-24,past_due,cash,1043.89,1043.89
PAY000016,POL000116,CUST000290,2024-02-14,reversed,ach,1420.56,1420.56
PAY000017,POL000117,CUST001045,2026-05-26,scheduled,other,1095.52,0.0
PAY000018,POL000118,CUST003121,2024-04-15,paid,wire,1648.41,0.0
PAY000019,POL000119,CUST003385,2026-01-09,failed,ach,1370.15,1370.15
PAY000020,POL000120,CUST001990,2025-12-13,paid,other,1715.27,1715.27
PAY000021,POL000121,CUST004774,2024-08-22,failed,cash,1510.58,0.0
PAY000022,POL000122,CUST001638,2026-01-09,paid,payroll,597.08,597.08
PAY000023,POL000123,CUST001341,2025-06-14,paid,payroll,426.62,426.62
PAY000024,POL000124,CUST001713,2024-08-09,past_due,ach,1917.24,1917.24
PAY000025,POL000125,CUST002489,2024-09-12,paid,other,1006.8,1006.8
PAY000026,POL000126,CUST002674,2025-06-21,paid,other,1719.71,1719.71
PAY000027,POL000127,CUST004026,2025-09-01,paid,card,137.47,0.0
PAY000028,POL000128,CUST000253,2024-10-05,paid,other,1901.13,0.0
PAY000029,POL000129,CUST001622,2024-09-18,failed,cash,1347.76,1347.76
PAY000030,POL000130,CUST002810,2025-04-06,past_due,card,825.59,825.59
PAY000031,POL000131,CUST000804,2026-07-13,refunded,payroll,735.28,735.28
PAY000032,POL000132,CUST003300,2024-05-09,past_due,payroll,149.94,149.94
PAY000033,POL000133,CUST003261,2026-03-17,reversed,cash,312.12,0.0
PAY000034,POL000134,CUST004945,2024-10-19,refunded,wire,235.43,235.43
PAY000035,POL000135,CUST004119,2026-09-07,paid,payroll,265.75,0.0
PAY000036,POL000136,CUST002266,2025-10-10,scheduled,check,1307.18,1307.18
PAY000037,POL000137,CUST002016,2024-06-23,scheduled,ach,1500.99,1500.99
PAY000038,POL000138,CUST002838,2025-06-29,paid,wire,80.89,0.0
PAY000039,POL000139,CUST004649,2025-05-12,failed,check,1831.4,1831.4
PAY000040,POL000140,CUST001074,2025-06-24,paid,other,297.37,297.37
PAY000041,POL000141,CUST002098,2025-02-12,paid,wire,651.35,651.35
PAY000042,POL000142,CUST000630,2026-06-15,past_due,ach,267.03,267.03
PAY000043,POL000143,CUST002785,2026-02-06,paid,cash,957.49,957.49
PAY000044,POL000144,CUST004869,2026-02-22,past_due,wire,1056.0,1056.0
PAY000045,POL000145,CUST001707,2024-08-20,paid,card,1309.45,1309.45
PAY000046,POL000146,CUST004843,2024-12-05,paid,wire,459.74,0.0
PAY000047,POL000147,CUST002333,2026-07-19,failed,card,1512.81,1512.81
