policy_id,policy_number,customer_id,agent_id,product_id,policy_status,effective_date,expiration_date,annual_premium,written_premium
POL000001,PN-00000001,CUST001323,AGT00320,PROD0008,expired,2023-09-09,2024-09-08,14686.93,13619.35
POL000002,PN-00000001,CUST004024,AGT00329,PROD0040,expired,2023-12-22,2024-12-21,13560.51,12595.37
POL000003,PN-00000001,CUST004806,AGT00306,PROD0033,renewed,2025-06-24,2026-06-24,2850.88,2773.46
POL000004,PN-00000001,CUST002648,AGT00110,PROD0042,renewed,2026-06-27,2027-06-27,9389.32,8802.17
POL000005,PN-00000001,CUST004669,AGT00416,PROD0008,quoted,2025-01-07,2026-01-07,3826.02,3466.82
POL000006,PN-00000001,CUST002590,AGT00415,PROD0008,issued,2024-06-18,2025-06-18,5718.18,5602.07
POL000007,PN-00000001,CUST001805,AGT00439,PROD0018,active,2025-09-10,2026-09-10,13286.62,13176.87
POL000008,PN-00000001,CUST001922,AGT00025,PROD0022,lapsed,2025-08-11,2026-08-11,12247.68,11232.98
POL000009,PN-00000001,CUST002657,AGT00379,PROD0013,lapsed,2023-06-06,2024-06-05,677.95,616.38
POL000010,PN-00000001,CUST002057,AGT00208,PROD0020,lapsed,2024-05-03,2025-05-03,11218.96,10815.02
POL000011,PN-00000001,CUST003146,AGT00482,PROD0011,quoted,2024-09-23,2025-09-23,3322.15,3318.09
POL000012,PN-00000001,CUST000582,AGT00472,PROD0018,expired,2026-07-18,2027-07-18,6411.71,6040.29
POL000013,PN-00000001,CUST004837,AGT00200,PROD0008,expired,2023-02-24,2024-02-24,5851.01,5407.71
POL000014,PN-00000001,CUST003653,AGT00468,PROD0020,active,2026-05-28,2027-05-28,1805.87,1769.57
POL000015,PN-00000001,CUST000524,AGT00266,PROD0032,quoted,2026-05-09,2027-05-09,14349.56,13468.15
POL000016,PN-00000001,CUST000074,AGT00218,PROD0005,cancelled,2024-06-29,2025-06-29,6735.23,6453.23
POL000017,PN-00000001,CUST000839,AGT00056,PROD0011,active,2024-10-14,2025-10-14,332.71,302.15
POL000018,PN-00000001,CUST000362,AGT00001,PROD0017,renewed,2023-04-18,2024-04-17,3052.52,2797.65
POL000019,PN-00000001,CUST004433,AGT00213,PROD0033,issued,2024-04-09,2025-04-09,9691.41,9619.21
POL000020,PN-00000001,CUST000493,AGT00284,PROD0026,lapsed,2023-06-13,2024-06-12,4184.82,3889.94
POL000021,PN-00000001,CUST003047,AGT00019,PROD0030,expired,2026-06-20,2027-06-20,6106.93,5873.58
POL000022,PN-00000001,CUST003709,AGT00259,PROD0017,quoted,2023-12-02,2024-12-01,776.58,749.19
POL000023,PN-00000001,CUST002343,AGT00044,PROD0018,expired,2024-07-06,2025-07-06,2305.3,2077.96
POL000024,PN-00000001,CUST003897,AGT00115,PROD0032,lapsed,2023-12-14,2024-12-13,3926.36,3893.91
POL000025,PN-00000001,CUST000555,AGT00368,PROD0023,lapsed,2026-03-31,2027-03-31,5712.75,5544.01
POL000026,PN-00000001,CUST002639,AGT00379,PROD0039,cancelled,2026-05-13,2027-05-13,4316.93,4170.02
POL000027,PN-00000001,CUST003579,AGT00110,PROD0049,lapsed,2025-09-30,2026-09-30,10624.22,9742.87
POL000028,PN-00000001,CUST001882,AGT00015,PROD0022,renewed,2024-10-05,2025-10-05,7634.01,7374.51
POL000029,PN-00000001,CUST004922,AGT00329,PROD0035,expired,2024-03-03,2025-03-03,6032.3,5438.64
POL000030,PN-00000001,CUST002555,AGT00369,PROD0041,active,2023-07-24,2024-07-23,893.31,858.05
POL000031,PN-00000031,CUST004387,AGT00053,PROD0021,active,2023-01-10,2024-01-10,11646.65,11145.61
POL000032,PN-00000032,CUST001937,AGT00175,PROD0028,lapsed,2023-02-22,2024-02-22,13156.22,12308.39
POL000033,PN-00000033,CUST004519,AGT00324,PROD0027,expired,2026-06-21,2027-06-21,9601.06,9049.51
POL000034,PN-00000034,CUST000124,AGT00438,PROD0040,active,2025-05-08,2026-05-08,3408.74,3298.47
POL000035,PN-00000035,CUST003218,AGT00009,PROD0032,active,2024-10-30,2025-10-30,12725.33,11563.6
POL000036,PN-00000036,CUST000726,AGT00257,PROD0019,active,2023-09-23,2024-09-22,6024.47,5650.77
POL000037,PN-00000037,CUST002341,AGT00469,PROD0007,active,2025-12-14,2026-12-14,643.09,633.74
POL000038,PN-00000038,CUST002829,AGT00299,PROD0019,active,2023-05-05,2024-05-04,7675.13,7154.49
POL000039,PN-00000039,CUST003060,AGT00124,PROD0022,active,2023-11-19,2024-11-18,12076.22,11436.94
POL000040,PN-00000040,CUST003713,AGT00392,PROD0047,renewed,2026-04-24,2027-04-24,5163.52,5020.35
POL000041,PN-00000041,CUST003419,AGT00472,PROD0044,cancelled,2025-01-12,2026-01-12,11669.58,11037.96
POL000042,PN-00000042,CUST001831,AGT00249,PROD0017,cancelled,2026-02-21,2027-02-21,12242.54,11908.83
POL000043,PN-00000043,CUST001268,AGT00170,PROD0005,cancelled,2023-12-16,2024-12-15,2806.83,2789.49
POL000044,PN-00000044,CUST004513,AGT00425,PROD0019,quoted,2025-05-08,2026-05-08,7032.09,6386.75
POL000045,PN-00000045,CUST004029,AGT00413,PROD0021,renewed,2023-12-14,2024-12-13,12825.87,12298.71
POL000046,PN-00000046,CUST001435,AGT00319,PROD0018,expired,2026-02-26,2027-02-26,10379.09,9681.36
POL000047,PN-00000047,CUST001328,AGT00108,PROD0040,quoted,2025-03-24,2026-03-24,7596.36,6944.75
POL000048,PN-00000048,CUST001836,AGT00341,PROD0034,renewed,2024-11-26,2025-11-26,4257.31,3831.97
POL000049,PN-00000049,CUST004590,AGT00135,PROD0049,issued,2023-07-03,2024-07-02,5334.58,5303.29
POL000050,PN-00000050,CUST002318,AGT00074,PROD0027,renewed,2026-03-01,2027-03-01,11175.0,11050.89
POL000051,PN-00000051,CUST001814,AGT00429,PROD0045,active,2026-01-17,2027-01-17,5308.42,5136.28
POL000052,PN-00000052,CUST004983,AGT00446,PROD0031,cancelled,2025-02-07,2026-02-07,10669.86,9774.69
POL000053,PN-00000053,CUST002330,AGT00214,PROD0005,expired,2024-10-01,2025-10-01,2223.36,2167.3
POL000054,PN-00000054,CUST000179,AGT00139,PROD0004,quoted,2025-11-12,2026-11-12,5506.26,5174.71
POL000055,PN-00000055,CUST002016,AGT00105,PROD0017,lapsed,2025-04-14,2026-04-14,1420.58,1363.59
POL000056,PN-00000056,CUST004306,AGT00254,PROD0013,active,2025-07-08,2026-07-08,2415.67,2331.29
POL000057,PN-00000057,CUST002862,AGT00309,PROD0013,lapsed,2026-09-11,2027-09-11,3512.13,3175.34
POL000058,PN-00000058,CUST000839,AGT00365,PROD0040,expired,2023-05-16,2024-05-15,7370.16,6668.72
