product_id,product_code,product_name,line_of_business,product_family,product_component_type,active_flag
PROD0001,AUTO-001,Auto Plus,auto,auto_family,rider,True
PROD0002,HOME-002,Home Plus,home,home_family,base,True
PROD0003,LIFE-003,Life Plus,life,life_family,base,True
PROD0004,HEALTH-004,Health Premier,health,health_family,rider,True
PROD0005,COMMERCIAL-005,Commercial Standard,commercial,commercial_family,base,True
PROD0006,AUTO-006,Auto Plus,auto,auto_family,rider,True
PROD0007,HOME-007,Home Premier,home,home_family,base,True
PROD0008,LIFE-008,Life Standard,life,life_family,base,True
PROD0009,HEALTH-009,Health Premier,health,health_family,base,True
PROD0010,COMMERCIAL-010,Commercial Premier,commercial,commercial_family,rider,True
PROD0011,AUTO-011,Auto Premier,auto,auto_family,rider,True
PROD0012,HOME-012,Home Plus,home,home_family,base,True
PROD0013,LIFE-013,Life Standard,life,life_family,rider,True
PROD0014,HEALTH-014,Health Standard,health,health_family,base,True
PROD0015,COMMERCIAL-015,Commercial Standard,commercial,commercial_family,base,True
PROD0016,AUTO-016,Auto Plus,auto,auto_family,base,True
PROD0017,HOME-017,Home Plus,home,home_family,base,True
PROD0018,LIFE-018,Life Standard,life,life_family,base,True
PROD0019,HEALTH-019,Health Plus,health,health_family,rider,True
PROD0020,COMMERCIAL-020,Commercial Standard,commercial,commercial_family,base,True
PROD0021,AUTO-021,Auto Plus,auto,auto_family,base,True
PROD0022,HOME-022,Home Standard,home,home_family,base,True
PROD0023,LIFE-023,Life Premier,life,life_family,base,True
PROD0024,HEALTH-024,Health Standard,health,health_family,base,True
PROD0025,COMMERCIAL-025,Commercial Plus,commercial,commercial_family,base,True
PROD0026,AUTO-026,Auto Plus,auto,auto_family,base,True
PROD0027,HOME-027,Home Standard,home,home_family,rider,True
PROD0028,LIFE-028,Life Standard,life,life_family,rider,True
PROD0029,HEALTH-029,Health Standard,health,health_family,rider,True
PROD0030,COMMERCIAL-030,Commercial Standard,commercial,commercial_family,base,True
PROD0031,AUTO-031,Auto Standard,auto,auto_family,base,True
PROD0032,HOME-032,Home Plus,home,home_family,base,True
PROD0033,LIFE-033,Life Plus,life,life_family,base,True
PROD0034,HEALTH-034,Health Plus,health,health_family,base,True
PROD0035,COMMERCIAL-035,Commercial Plus,commercial,commercial_family,base,True
PROD0036,AUTO-036,Auto Premier,auto,auto_family,base,True
PROD0037,HOME-037,Home Standard,home,home_family,base,True
PROD0038,LIFE-038,Life Plus,life,life_family,base,True
PROD0039,HEALTH-039,Health Standard,health,health_family,base,True
PROD0040,COMMERCIAL-040,Commercial Standard,commercial,commercial_family,rider,True
PROD0041,AUTO-041,Auto Plus,auto,auto_family,base,True
PROD0042,HOME-042,Home Premier,home,home_family,base,True
PROD0043,LIFE-043,Life Plus,life,life_family,base,True
PROD0044,HEALTH-044,Health Plus,health,health_family,base,True
PROD0045,COMMERCIAL-045,Commercial Standard,commercial,commercial_family,base,True
PROD0046,AUTO-046,Auto Premier,auto,auto_family,base,True
PROD0047,HOME-047,Home Standard,home,home_family,base,True
PROD0048,LIFE-048,Life Plus,life,life_family,base,True
PROD0049,HEALTH-049,Health Premier,health,health_family,base,True
PROD0050,COMMERCIAL-050,Commercial Plus,commercial,commercial_family,base,True
