policy_id,policy_number,customer_id,agent_id,product_id,policy_status,effective_date,expiration_date,annual_premium,written_premium
POL004820,PN-00004820,CUST000627,AGT00323,PROD0010,expired,2023-12-07,2024-12-06,1583.4,1524.11
POL002061,PN-00002061,CUST004052,AGT00177,PROD0031,expired,2024-08-22,2025-08-22,4905.63,4553.99
POL001619,PN-00001619,CUST000653,AGT00375,PROD0040,expired,2023-02-14,2024-02-14,5303.08,5079.98
POL003280,PN-00003280,CUST001345,AGT00110,PROD0044,active,2024-01-28,2025-01-27,2165.49,2152.38
POL001660,PN-00001660,CUST004090,AGT00460,PROD0005,renewed,2024-01-18,2025-01-17,2440.7,2232.03
POL000742,PN-00000742,CUST003031,AGT00473,PROD0045,cancelled,2024-10-29,2025-10-29,6471.46,5830.54
POL000627,PN-00000627,CUST000947,AGT00025,PROD0006,cancelled,2024-10-01,2025-10-01,6263.87,6192.87
POL001327,PN-00001327,CUST002338,AGT00313,PROD0004,cancelled,2024-07-30,2025-07-30,11912.32,11276.76
POL001779,PN-00001779,CUST002391,AGT00011,PROD0045,cancelled,2026-08-03,2027-08-03,14725.97,14091.52
POL004780,PN-00004780,CUST002489,AGT00176,PROD0032,cancelled,2026-05-27,2027-05-27,4444.86,4383.32
POL003633,PN-00003633,CUST004807,AGT00253,PROD0024,expired,2026-01-23,2027-01-23,9537.4,9488.96
POL004839,PN-00004839,CUST002709,AGT00260,PROD0036,renewed,2023-05-30,2024-05-29,1775.25,1659.9
POL001030,PN-00001030,CUST001026,AGT00483,PROD0021,renewed,2024-04-10,2025-04-10,7837.22,7738.93
POL001342,PN-00001342,CUST003360,AGT00067,PROD0020,renewed,2026-06-13,2027-06-13,7880.98,7114.34
POL004816,PN-00004816,CUST003476,AGT00120,PROD0027,cancelled,2025-12-23,2026-12-23,1874.01,1689.86
POL001962,PN-00001962,CUST002117,AGT00442,PROD0024,cancelled,2025-12-02,2026-12-02,13502.61,13471.37
POL004518,PN-00004518,CUST004681,AGT00208,PROD0046,expired,2025-05-05,2026-05-05,13733.37,13303.72
POL004618,PN-00004618,CUST002317,AGT00383,PROD0022,expired,2023-03-16,2024-03-15,3312.14,3259.01
POL002439,PN-00002439,CUST003696,AGT00017,PROD0014,renewed,2025-04-08,2026-04-08,10830.96,10705.81
POL002582,PN-00002582,CUST002864,AGT00432,PROD0012,cancelled,2023-02-11,2024-02-11,1716.69,1610.46
POL004166,PN-00004166,CUST003260,AGT00355,PROD0007,cancelled,2026-06-10,2027-06-10,8990.64,8622.96
POL002923,PN-00002923,CUST003502,AGT00312,PROD0017,active,2026-07-25,2027-07-25,11224.73,11109.48
POL004606,PN-00004606,CUST001193,AGT00354,PROD0033,expired,2024-02-04,2025-02-03,10911.94,10706.78
POL004651,PN-00004651,CUST001657,AGT00334,PROD0004,expired,2023-09-13,2024-09-12,8994.3,8213.8
POL003533,PN-00003533,CUST003930,AGT00278,PROD0045,renewed,2024-10-19,2025-10-19,12824.61,12618.93
POL002295,PN-00002295,CUST003680,AGT00388,PROD0028,renewed,2023-12-24,2024-12-23,8644.58,8327.12
POL004625,PN-00004625,CUST001833,AGT00210,PROD0025,active,2024-11-20,2025-11-20,14704.28,13905.91
POL001808,PN-00001808,CUST000734,AGT00315,PROD0012,cancelled,2024-06-29,2025-06-29,6869.41,6623.69
POL003699,PN-00003699,CUST003945,AGT00032,PROD0020,active,2026-06-02,2027-06-02,4145.31,3928.47
POL001020,PN-00001020,CUST004803,AGT00280,PROD0044,cancelled,2024-04-04,2025-04-04,14732.47,13925.68
POL004826,PN-00004826,CUST001324,AGT00372,PROD0022,expired,2023-05-03,2024-05-02,12635.67,12605.75
POL004970,PN-00004970,CUST000681,AGT00500,PROD0030,active,2024-04-12,2025-04-12,14467.7,14465.37
POL004280,PN-00004280,CUST003673,AGT00340,PROD0023,renewed,2025-03-02,2026-03-02,5702.55,5323.96
POL003995,PN-00003995,CUST000185,AGT00380,PROD0038,renewed,2023-01-15,2024-01-15,506.52,497.07
POL000549,PN-00000549,CUST004507,AGT00445,PROD0049,active,2026-01-18,2027-01-18,12045.78,11438.45
POL001076,PN-00001076,CUST003844,AGT00276,PROD0006,active,2024-04-01,2025-04-01,2036.98,1907.55
POL004783,PN-00004783,CUST004665,AGT00487,PROD0031,active,2023-09-04,2024-09-03,2702.36,2534.18
POL003209,PN-00003209,CUST001302,AGT00283,PROD0011,expired,2025-02-13,2026-02-13,10700.1,9939.88
POL000432,PN-00000432,CUST003383,AGT00044,PROD0043,expired,2026-03-26,2027-03-26,9066.05,8923.14
POL003882,PN-00003882,CUST004580,AGT00218,PROD0031,active,2024-01-20,2025-01-19,2405.06,2389.85
POL000654,PN-00000654,CUST000302,AGT00059,PROD0007,expired,2023-09-15,2024-09-14,6943.44,6403.0
POL000513,PN-00000513,CUST002618,AGT00105,PROD0038,active,2026-02-02,2027-02-02,12650.44,11593.61
POL002683,PN-00002683,CUST002060,AGT00470,PROD0005,active,2024-01-26,2025-01-25,13882.21,12591.09
POL000353,PN-00000353,CUST003627,AGT00038,PROD0040,cancelled,2026-02-17,2027-02-17,8168.09,7983.81
POL001002,PN-00001002,CUST004653,AGT00046,PROD0024,expired,2025-12-18,2026-12-18,11227.68,10401.88
POL003046,PN-00003046,CUST004286,AGT00221,PROD0042,renewed,2024-08-06,2025-08-06,9764.7,9645.72
POL002566,PN-00002566,CUST002956,AGT00043,PROD0041,active,2024-02-13,2025-02-12,1435.32,1341.38
POL001642,PN-00001642,CUST000650,AGT00377,PROD0003,expired,2023-05-22,2024-05-21,11077.49,10119.52
POL002338,PN-00002338,CUST003046,AGT00107,PROD0037,cancelled,2026-08-21,2027-08-21,760.79,718.2
POL002215,PN-00002215,CUST000738,AGT00479,PROD0050,renewed,2026-03-04,2027-03-04,7113.63,6812.2
POL000260,PN-00000260,CUST002087,AGT00421,PROD0007,expired,2024-08-11,2025-08-11,8482.39,8337.76
POL003611,PN-00003611,CUST003315,AGT00036,PROD0020,expired,2023-05-08,2024-05-07,4472.69,4059.66
POL000832,PN-00000832,CUST001846,AGT00489,PROD0006,renewed,2024-03-24,2025-03-24,7314.1,7112.16
POL003240,PN-00003240,CUST004886,AGT00052,PROD0020,expired,2023-07-29,2024-07-28,13585.55,13269.23
POL002406,PN-00002406,CUST004031,AGT00041,PROD0015,cancelled,2024-09-22,2025-09-22,1575.65,1535.36
POL003966,PN-00003966,CUST000272,AGT00045,PROD0036,active,2025-01-18,2026-01-18,8909.97,8161.6
POL000125,PN-00000125,CUST002489,AGT00246,PROD0012,renewed,2025-11-04,2026-11-04,1382.47,1266.12
POL002296,PN-00002296,CUST004987,AGT00435,PROD0028,active,2026-08-25,2027-08-25,4884.73,4839.27
POL000279,PN-00000279,CUST001804,AGT00006,PROD0014,renewed,2026-07-02,2027-07-02,11514.23,10639.53
POL002056,PN-00002056,CUST004206,AGT00079,PROD0037,cancelled,2023-11-07,2024-11-06,2345.63,2304.09
POL001310,PN-00001310,CUST004921,AGT00332,PROD0045,active,2024-08-19,2025-08-19,4626.3,4481.27
POL000855,PN-00000855,CUST002286,AGT00383,PROD0009,renewed,2026-07-02,2027-07-02,14601.95,14259.9
POL000111,PN-00000111,CUST001997,AGT00239,PROD0044,expired,2026-08-27,2027-08-27,549.6,514.58
POL000460,PN-00000460,CUST003875,AGT00224,PROD0043,active,2025-01-16,2026-01-16,5239.15,4796.51
POL001834,PN-00001834,CUST004635,AGT00105,PROD0024,active,2024-02-12,2025-02-11,8632.05,7971.22
POL003589,PN-00003589,CUST004675,AGT00289,PROD0014,active,2023-09-15,2024-09-14,5857.67,5417.11
POL000713,PN-00000713,CUST002471,AGT00139,PROD0046,active,2026-05-10,2027-05-10,8303.63,7921.92
POL003337,PN-00003337,CUST004891,AGT00002,PROD0035,expired,2023-05-12,2024-05-11,1555.25,1403.35
POL003622,PN-00003622,CUST004900,AGT00389,PROD0020,expired,2023-07-08,2024-07-07,12168.46,11355.06
POL002671,PN-00002671,CUST002765,AGT00385,PROD0041,expired,2024-01-16,2025-01-15,6947.4,6602.19
POL002378,PN-00002378,CUST003572,AGT00267,PROD0019,renewed,2025-11-20,2026-11-20,12703.68,12174.02
POL003636,PN-00003636,CUST003922,AGT00212,PROD0036,renewed,2023-11-26,2024-11-25,12721.02,12588.84
POL001038,PN-00001038,CUST004987,AGT00138,PROD0008,renewed,2026-04-30,2027-04-30,10685.27,10321.71
POL004295,PN-00004295,CUST002327,AGT00476,PROD0009,renewed,2024-04-19,2025-04-19,13388.09,12592.75
POL003150,PN-00003150,CUST004268,AGT00240,PROD0049,expired,2023-05-10,2024-05-09,5859.64,5654.24
POL002887,PN-00002887,CUST001796,AGT00040,PROD0050,expired,2023-05-07,2024-05-06,12310.49,11252.19
POL003703,PN-00003703,CUST004394,AGT00374,PROD0002,cancelled,2024-10-29,2025-10-29,11270.35,10428.63
POL004981,PN-00004981,CUST002646,AGT00400,PROD0013,renewed,2024-02-17,2025-02-16,2823.49,2799.08
POL002363,PN-00002363,CUST001407,AGT00075,PROD0039,cancelled,2026-09-11,2027-09-11,1607.81,1511.18
POL001681,PN-00001681,CUST003287,AGT00030,PROD0044,cancelled,2026-02-25,2027-02-25,13768.56,13701.24
POL001851,PN-00001851,CUST003534,AGT00041,PROD0018,renewed,2024-07-04,2025-07-04,1786.59,1726.41
POL004285,PN-00004285,CUST002035,AGT00199,PROD0028,active,2025-04-07,2026-04-07,6797.11,6737.81
POL001958,PN-00001958,CUST004766,AGT00040,PROD0026,renewed,2026-05-07,2027-05-07,4580.19,4471.53
POL002929,PN-00002929,CUST004442,AGT00354,PROD0015,renewed,2024-04-02,2025-04-02,7368.95,7105.29
POL000646,PN-00000646,CUST004538,AGT00442,PROD0016,active,2023-07-22,2024-07-21,7317.06,6817.49
POL002199,PN-00002199,CUST002840,AGT00392,PROD0033,expired,2026-02-28,2027-02-28,10675.71,10647.14
POL003664,PN-00003664,CUST000929,AGT00323,PROD0011,renewed,2023-04-02,2024-04-01,1980.77,1790.74
POL004964,PN-00004964,CUST002884,AGT00430,PROD0029,active,2023-03-13,2024-03-12,5508.78,5410.22
POL001119,PN-00001119,CUST003602,AGT00303,PROD0038,cancelled,2026-01-05,2027-01-05,7246.33,6544.18
POL002082,PN-00002082,CUST002786,AGT00121,PROD0037,active,2026-08-02,2027-08-02,11798.39,10647.53
POL003577,PN-00003577,CUST001440,AGT00042,PROD0010,active,2024-05-02,2025-05-02,4441.24,4012.63
POL002754,PN-00002754,CUST001152,AGT00355,PROD0016,cancelled,2024-11-20,2025-11-20,6603.34,6206.55
POL003154,PN-00003154,CUST000718,AGT00460,PROD0009,expired,2025-01-23,2026-01-23,1776.33,1695.46
POL001859,PN-00001859,CUST003726,AGT00297,PROD0025,renewed,2024-11-21,2025-11-21,14731.59,14216.78
POL001819,PN-00001819,CUST002723,AGT00318,PROD0041,active,2026-09-04,2027-09-04,9805.38,9391.52
POL002348,PN-00002348,CUST004532,AGT00254,PROD0036,active,2025-09-01,2026-09-01,1327.77,1225.66
POL002797,PN-00002797,CUST003545,AGT00171,PROD0048,expired,2023-01-01,2024-01-01,2476.42,2340.24
POL001438,PN-00001438,CUST003823,AGT00150,PROD0012,expired,2024-12-03,2025-12-03,2834.2,2676.69
POL004183,PN-00004183,CUST000373,AGT00055,PROD0028,cancelled,2026-01-25,2027-01-25,14690.34,13317.86
POL002067,PN-00002067,CUST002382,AGT00475,PROD0008,renewed,2025-09-20,2026-09-20,10337.89,9514.88
POL003907,PN-00003907,CUST003269,AGT00288,PROD0042,cancelled,2023-06-07,2024-06-06,13441.68,12898.98
POL004924,PN-00004924,CUST001485,AGT00139,PROD0010,renewed,2024-05-17,2025-05-17,9394.49,9054.94
POL002573,PN-00002573,CUST004324,AGT00230,PROD0020,active,2025-07-04,2026-07-04,4325.88,3977.78
POL004367,PN-00004367,CUST000041,AGT00238,PROD0042,active,2026-02-06,2027-02-06,4841.39,4772.43
POL002369,PN-00002369,CUST002838,AGT00445,PROD0007,renewed,2025-10-23,2026-10-23,3386.52,3130.66
POL002495,PN-00002495,CUST001208,AGT00414,PROD0026,cancelled,2026-09-14,2027-09-14,10584.55,9562.63
POL003041,PN-00003041,CUST001125,AGT00368,PROD0020,active,2024-12-26,2025-12-26,10561.43,10320.02
POL003993,PN-00003993,CUST004432,AGT00266,PROD0031,active,2024-01-03,2025-01-02,8078.23,7329.25
POL003359,PN-00003359,CUST003945,AGT00469,PROD0040,expired,2025-03-24,2026-03-24,9980.22,9892.09
POL001442,PN-00001442,CUST000247,AGT00052,PROD0017,cancelled,2023-02-04,2024-02-04,13263.12,12881.78
POL002044,PN-00002044,CUST004409,AGT00212,PROD0016,cancelled,2023-05-06,2024-05-05,9219.08,8946.08
POL004373,PN-00004373,CUST004480,AGT00365,PROD0039,cancelled,2026-01-10,2027-01-10,1730.29,1639.06
POL002934,PN-00002934,CUST002197,AGT00256,PROD0039,cancelled,2024-05-03,2025-05-03,9460.29,9419.67
POL001360,PN-00001360,CUST001737,AGT00131,PROD0041,cancelled,2025-05-26,2026-05-26,5730.99,5319.19
POL002985,PN-00002985,CUST002620,AGT00308,PROD0030,active,2025-10-01,2026-10-01,6675.17,6469.49
POL000638,PN-00000638,CUST001492,AGT00136,PROD0008,renewed,2024-05-06,2025-05-06,9886.75,9046.45
POL004832,PN-00004832,CUST002606,AGT00385,PROD0027,expired,2023-05-12,2024-05-11,919.33,878.47
POL000514,PN-00000514,CUST002587,AGT00284,PROD0006,expired,2026-04-23,2027-04-23,11861.91,11221.79
POL003364,PN-00003364,CUST003120,AGT00254,PROD0037,renewed,2026-06-12,2027-06-12,12914.61,12341.99
POL004834,PN-00004834,CUST003831,AGT00172,PROD0015,cancelled,2025-05-04,2026-05-04,11252.15,11166.22
