policy_coverage_id,policy_id,coverage_code,coverage_name,coverage_status,limit_amount,deductible_amount,effective_date,expiration_date
COV000001,POL000101,COLL,Collision,active,393393.4,1098.58,2024-01-20,2025-01-19
COV000002,POL000102,COMP,Comprehensive,active,31156.7,4732.73,2025-02-03,2026-02-03
COV000003,POL000103,PD,Property Damage,active,118123.12,4142.46,2026-08-06,2027-08-06
COV000004,POL000104,COLL,Collision,active,457318.15,2019.08,2025-03-05,2026-03-05
COV000005,POL000105,MED,Medical Payments,active,339509.73,4559.8,2025-11-05,2026-11-05
COV000006,POL000106,COMP,Comprehensive,active,269430.91,645.06,2024-04-04,2025-04-04
COV000007,POL000107,COMP,Comprehensive,active,379830.62,4415.59,2024-02-24,2025-02-23
COV000008,POL000108,PD,Property Damage,active,496400.15,293.15,2023-06-10,2024-06-09
COV000009,POL000109,BI,Bodily Injury,active,214161.66,2322.23,2024-07-30,2025-07-30
COV000010,POL000110,MED,Medical Payments,active,250349.88,3791.35,2026-05-25,2027-05-25
COV000011,POL000111,COLL,Collision,active,131159.28,397.01,2026-08-27,2027-08-27
COV000012,POL000112,COLL,Collision,active,120047.88,1022.51,2023-01-10,2024-01-10
COV000013,POL000113,COMP,Comprehensive,active,253498.51,2839.93,2024-12-14,2025-12-14
COV000014,POL000114,MED,Medical Payments,active,139472.38,1240.57,2025-02-04,2026-02-04
COV000015,POL000115,BI,Bodily Injury,active,235860.96,405.09,2023-05-13,2024-05-12
COV000016,POL000116,PD,Property Damage,active,399163.87,3169.41,2023-11-23,2024-11-22
COV000017,POL000117,MED,Medical Payments,active,73390.06,932.08,2025-12-08,2026-12-08
COV000018,POL000118,COMP,Comprehensive,active,416235.63,2887.14,2024-10-27,2025-10-27
COV000019,POL000119,PD,Property Damage,active,107319.96,3444.15,2026-02-14,2027-02-14
COV000020,POL000120,PD,Property Damage,active,346848.79,4307.99,2023-01-07,2024-01-07
COV000021,POL000121,COMP,Comprehensive,active,276643.98,897.33,2025-04-25,2026-04-25
COV000022,POL000122,COMP,Comprehensive,active,491275.71,922.66,2023-05-12,2024-05-11
