premium_id,policy_id,policy_coverage_id,premium_period_start,premium_period_end,transaction_type,written_premium_amount,earned_premium_amount
PREM000001,POL000101,COV000001,2024-01-20,2025-01-19,audit,2607.59,2124.51
PREM000002,POL000102,COV000002,2025-02-03,2026-02-03,renewal,1277.86,704.63
PREM000003,POL000103,COV000003,2026-08-06,2027-08-06,reinstatement,1803.27,1210.47
PREM000004,POL000104,COV000004,2025-03-05,2026-03-05,new_business,803.86,479.41
PREM000005,POL000105,COV000005,2025-11-05,2026-11-05,cancellation,1864.82,1628.03
PREM000006,POL000106,COV000006,2024-04-04,2025-04-04,endorsement,1421.57,772.87
PREM000007,POL000107,COV000007,2024-02-24,2025-02-23,audit,2589.08,2214.16
PREM000008,POL000108,COV000008,2023-06-10,2024-06-09,cancellation,586.41,560.85
PREM000009,POL000109,COV000009,2024-07-30,2025-07-30,cancellation,93.8,90.28
PREM000010,POL000110,COV000010,2026-05-25,2027-05-25,renewal,622.78,501.99
PREM000011,POL000111,COV000011,2026-08-27,2027-08-27,new_business,327.13,299.71
PREM000012,POL000112,COV000012,2023-01-10,2024-01-10,cancellation,2890.91,2321.12
PREM000013,POL000113,COV000013,2024-12-14,2025-12-14,audit,230.78,226.29
PREM000014,POL000114,COV000014,2025-02-04,2026-02-04,endorsement,1501.42,1322.01
PREM000015,POL000115,COV000015,2023-05-13,2024-05-12,reinstatement,1096.21,848.91
PREM000016,POL000116,COV000016,2023-11-23,2024-11-22,reinstatement,2032.48,1378.12
PREM000017,POL000117,COV000017,2025-12-08,2026-12-08,endorsement,841.06,755.91
PREM000018,POL000118,COV000018,2024-10-27,2025-10-27,audit,2745.81,1502.6
PREM000019,POL000119,COV000019,2026-02-14,2027-02-14,cancellation,2492.24,2426.62
PREM000020,POL000120,COV000020,2023-01-07,2024-01-07,reinstatement,662.18,577.59
PREM000021,POL000121,COV000021,2025-04-25,2026-04-25,audit,1389.76,1280.89
PREM000022,POL000122,COV000022,2023-05-12,2024-05-11,audit,440.34,382.02
PREM000023,POL000123,COV000023,2023-06-10,2024-06-09,cancellation,2480.81,1760.17
PREM000024,POL000124,COV000024,2025-05-18,2026-05-18,audit,1590.8,1232.78
PREM000025,POL000125,COV000025,2025-11-04,2026-11-04,new_business,2583.7,2191.26
PREM000026,POL000126,COV000026,2024-07-27,2025-07-27,cancellation,98.55,53.8
PREM000027,POL000127,COV000027,2023-12-21,2024-12-20,audit,308.98,251.27
PREM000028,POL000128,COV000028,2025-10-01,2026-10-01,reinstatement,703.9,386.67
PREM000029,POL000129,COV000029,2023-08-09,2024-08-08,cancellation,1913.13,1289.48
PREM000030,POL000130,COV000030,2025-07-06,2026-07-06,audit,2886.83,1844.51
PREM000031,POL000131,COV000031,2024-12-02,2025-12-02,renewal,2005.93,1864.59
PREM000032,POL000132,COV000032,2026-02-11,2027-02-11,audit,604.9,581.36
PREM000033,POL000133,COV000033,2024-08-04,2025-08-04,renewal,529.25,304.04
PREM000034,POL000134,COV000034,2024-12-29,2025-12-29,audit,312.88,162.57
PREM000035,POL000135,COV000035,2023-01-09,2024-01-09,endorsement,1287.01,817.59
PREM000036,POL000136,COV000036,2025-06-23,2026-06-23,cancellation,2882.79,1640.76
PREM000037,POL000137,COV000037,2023-06-23,2024-06-22,audit,1325.09,1323.93
PREM000038,POL000138,COV000038,2023-12-08,2024-12-07,reinstatement,2227.73,1307.03
PREM000039,POL000139,COV000039,2026-09-06,2027-09-06,reinstatement,584.39,418.79
PREM000040,POL000140,COV000040,2026-02-24,2027-02-24,cancellation,1132.03,905.57
PREM000041,POL000141,COV000041,2025-07-27,2026-07-27,reinstatement,1282.27,691.54
PREM000042,POL000142,COV000042,2026-01-15,2027-01-15,endorsement,1133.87,1029.01
PREM000043,POL000143,COV000043,2023-03-11,2024-03-10,reinstatement,688.39,381.44
PREM000044,POL000144,COV000044,2025-03-30,2026-03-30,renewal,254.18,131.01
PREM000045,POL000145,COV000045,2026-08-26,2027-08-26,audit,168.7,112.42
PREM000046,POL000146,COV000046,2025-02-24,2026-02-24,endorsement,367.62,331.81
PREM000047,POL000147,COV000047,2026-07-28,2027-07-28,audit,932.76,802.81
PREM000048,POL000148,COV000048,2024-04-15,2025-04-15,audit,790.52,502.58
PREM000049,POL000149,COV000049,2023-10-06,2024-10-05,new_business,2222.9,1326.25
PREM000050,POL000150,COV000050,2024-03-15,2025-03-15,cancellation,2594.48,1786.03
PREM000051,POL000151,COV000051,2026-03-29,2027-03-29,reinstatement,1351.35,986.51
PREM000052,POL000152,COV000052,2023-12-02,2024-12-01,cancellation,975.17,546.58
PREM000053,POL000153,COV000053,2024-05-27,2025-05-27,renewal,2527.92,2512.6
PREM000054,POL000154,COV000054,2026-08-04,2027-08-04,audit,1961.73,1546.68
PREM000055,POL000155,COV000055,2024-02-01,2025-01-31,new_business,2257.68,1291.35
PREM000056,POL000156,COV000056,2025-07-11,2026-07-11,endorsement,2879.56,2426.64
PREM000057,POL000157,COV000057,2023-01-12,2024-01-12,renewal,1091.8,823.65
PREM000058,POL000158,COV000058,2026-08-31,2027-08-31,reinstatement,634.2,337.87
PREM000059,POL000159,COV000059,2025-11-25,2026-11-25,reinstatement,1081.07,830.52
PREM000060,POL000160,COV000060,2024-11-07,2025-11-07,cancellation,1269.42,861.23
PREM000061,POL000161,COV000061,2025-05-15,2026-05-15,audit,2914.56,2133.35
